LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	tongue squamous cell carcinoma	C02	M8070/3	qPCR, RNAi, Cell migration and invasion assay, ISH etc.	TSCC tissues, cell lines (Tca8113 and Cal27)	up-regulated	LINC00673 was significantly upregulated in TSCC samples. Then we examined LINC00673 expression in 202 TSCC tissue specimens, LINC00673 is highly expressed in a significant proportion of human TSCC biopsies and correlates with poor prognosis. Knockdown LINC00673 significantly inhibited the cell invasion and migration capability in TSCC cells.	28039470	2017	Overexpression long non-coding RNA LINC00673 is associated with poor prognosis and promotes invasion and metastasis in tongue squamous cell carcinoma.	0	0	1	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	gastric cancer	C16	NA	qPCR, Western blot, RIP etc.	gastric cancer cell lines (MKN45, AGS, MKN-28 ,Sgastric cancer-7901)	down-regulated	RNA immunoprecipitation (RIP) and chromatin immunoprecipitation (ChIP) proved that LINC00673 suppressed KLF4 expression by interacting with EZH2 and DNMT1 in GC cells. Moreover, we confirmed that LINC00673 promoted cell proliferation and invasion by partly repressing KLF4 expression in GC. Taken together, these results indicated that LINC00673 may be a prognostic biomarker and therapeutic target for GC patients.Higher LINC00673 expression predicted poor disease-free survival (DFS) and overall survival (OS) in GC patients. 	29221147	2017	Long noncoding RNA LINC00673 epigenetically suppresses KLF4 by interacting with EZH2 and DNMT1 in gastric cancer	0	0	1	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	non small cell lung cancer	C34	M8046/3	qPCR, Western blot etc.	cell lines (BEAS-2B, A549, H1975, H596, H520, H1650, H1703 and HEK-293)	up-regulated	high linc00673 expression was associated with poor prognosis of NSCLC patients.Linc00673 acted as a ceRNA by sponging miR-150-5p and regulated ZEB1 expression indirectly. linc00673 modulated cell proliferation, migration, invasion and EMT by sponging miR-150-5p and regulating ZEB1 expression indirectly. the inhibition of linc00673 significantly attenuated the tumorigenesis ability of A549 cells in vivo. Linc00673 is associated with poor survival in NSCLC patients.	28697764	2017	Long non-coding RNA linc00673 regulated non-small cell lung cancer proliferation, migration, invasion and epithelial mesenchymal transition by sponging miR-150-5p.	0	0	1	1	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	non small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissues	up-regulated	The expression level of ADAMTS9-AS2, C1401f132 and LINC00312 in NSCLC tumors were indeed significantly down-regulated when compared with those in normal lung tissues, while LINC00673 was significantly up-regulated in NSCLC tumors compared with normal lung tissues.These lncRNAs could be further exploited for the development of useful biomarkers in diagnosis, prognosis and treatment of NSCLC.	25590602	2015	Identification and Validation of Long non-coding RNA Biomarkers in Human Non-Small Cell Lung Carcinomas.	0	0	0	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	gastric cancer	C16	NA	microarray, qPCR, RNAi, Western blot, RIP, ChIP, Luciferase reporter assay, Cell proliferation assay etc.	gastric cancer tissues, cell lines (BGC823, SGC7901, MGC803, and AGS)	up-regulated	LINC00673 is significantly upregulated in gastric cancer. Knockdown of LINC00673 inhibited cell proliferation and invasion and induced cell apoptosis. SP1 could bind directly to the LINC00673 promoter region and activate its transcription. Moreover, CADM4, KLF2, and LATS2 might be the underlying targets of LINC00673 in GC cells, and LINC00673 can interact with EZH2 and LSD1, thereby repressing KLF2 and LATS2 expression.	28214253	2017	Long Noncoding RNA LINC00673 Is Activated by SP1 and Exerts Oncogenic Properties by Interacting with LSD1 and EZH2 in Gastric Cancer.	0	0	0	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	non small cell lung cancer	C34	M8046/3	qPCR, RIP etc.	NSCLC tissues, cell lines (A549, SPC-A1, PC9, H1299, H1975, H1703 etc.)	up-regulated	We identified an oncogene, linc00673, whose expression level was upregulated by bioinformatics analyses and qRT-PCR analyses in NSCLC. The effects of linc00673 on tumor progression were investigated in vitro and in vivo. Linc00673 knockdown significantly inhibited cell proliferation and colony-forming ability, and suppressed S-phase entry in vitro and shRNA linc00673 mediated knockdown significantly inhibit tumor growth in vivo, meanwhile, linc00673 overexpression increased tumor cell growth. Analysis of RNAseq data revealed linc00673 could modulate the transcription of a large amount of genes including oncogene and tumor suppressor gene, so we investigated the role and regulatory mechanism of linc00673 in NSCLC proliferation. 	27027352	2016	Upregulation of long intergenic noncoding RNA 00673 promotes tumor proliferation via LSD1 interaction and repression of NCALD in non-small-cell lung cancer	0	0	0	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	breast cancer	C50	NA	RNA-seq, qPCR	breast cancer tissues	up-regulated	We identified lnc00673 (ERRLR01) as a marker of overall survival (OS) in breast cancer patients.ERRLR01 levels were elevated in triple-negative breast cancer (TNBC) as compared with Luminal-A,Luminal-B, and HER2 breast cancer subtypes. ERRLR01 levels were also inversely correlated with breast cancer survival across all breast cancer patients.OS in ERa-tumors correlated with negative overall survival,while in ERa+ tumors,ERRLR01 correlated with positive outcomes.This suggests ERRLR01 is modulated by hormone signaling in breast cancer.ERRLR01 correlated with distinct pathways including epithelial development and cellular differentiation. 	28795861	2017	linc00673 (ERRLR01) is a prognostic indicator of overall survival in breast cancer.	0	0	1	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	pancreatic ductal adenocarcinoma	C25.3	M8500/3	microarray, qPCR, Cell proliferation assay etc.	PDAC tissues, cell lines (AsPC-1, BxPC-3, Capan-2, CFPAC-1, HPAC, MIA PaCa-2, PANC-1 and SW1990)	up-regulated	The qRT-PCR results showed that CRNDE, NR_036488, ENSG00000244649, AFAP1-AS and UCA1 expression was significantly increased and ENSG00000218510 expression was remarkably decreased in PDAC tissues compared with paired normal pancreatic tissues. Consistent with the findings in PDAC tissues, CRNDE, NR_036488, ENSG00000244649, AFAP1-AS1 and UCA1 expression was dramatically enhanced and ENSG00000218510 reduced in all or most of 8 PDAC cell lines in relative to the nonmalignant HPDE6-C7 cells or hTERT-HPNE cells at the RNA level.	27628540	2016	Analysis of long non-coding RNA expression profiles in pancreatic ductal adenocarcinoma.	0	0	1	0	0	0	0
LINC00673	LINC00673, HI-LNC75, HILNC75, LUCAIR1, SLNCR, SLNCR1	100499467	NA	NR_036488	GRCh38_17:72403322-72592804	melanoma	NA	M8720/3	qPCR, Flow cytometry assay, RNA pull-down assay etc.	cell lines (A375, HEK293T)	up-regulated	Increased expression of this lncRNA, SLNCR1, mediates melanoma invasion through a highly conserved sequence similar to that of the lncRNA SRA1. Using a sensitive technique we term RATA (RNA-associated transcription factor array), we show that the brain-specific homeobox protein 3a (Brn3a) and the androgen receptor (AR) bind within and adjacent to SLNCR1's conserved region, respectively. SLNCR1, AR, and Brn3a are specifically required for transcriptional activation of matrix metalloproteinase 9 (MMP9) and increased melanoma invasion.	27210747	2016	The lncRNA SLNCR1 Mediates Melanoma Invasion through a Conserved SRA1-like Region.	0	0	1	0	0	1	0
LINC00704	MANCR	NA	ENSG00000231298	NA	GRCh38_10:4650185-4678154	breast cancer	C50	NA	RNA-seq, Western blot, in vitro knockdown etc.	cell lines (MCF-10A, MDA-MB-231), aggressive breast cancer tissue	up-regulated	MANCR (mitotically-associated long noncoding RNA; LINC00704), which is upregulated in breast cancer patient specimens and cells. Depletion of MANCR in triple-negative breast cancer cells significantly decreases cell proliferation and viability, with concomitant increases in DNA damage. MANCR expression is highest in mitotic cells by both RT-qPCR and RNA in situ hybridization. Consistent with a role in cell-cycle regulation, MANCR-depleted cells have a lower mitotic index and higher incidences of defective cytokinesis and cell death.MANCR, in genomic stability of aggressive breast cancer, and identify it as a potential therapeutic target	29378907	218	Mitotically-Associated lncRNA (MANCR) Affects Genomic Stability and Cell Division in Aggressive Breast Cancer.	1	0	1	0	0	0	0
LINC00704	MANCR	NA	ENSG00000231298	NA	GRCh38_10:4650185-4678154	thyroid cancer	C73.9	NA	qPCR, Western blot, etc.	cell lines (BHT101, BCPAP)	down-regulated	Downregulation of LINC00704 could significantly impair thyroid cancer cells proliferation, colony formation, inhibit cell-cycle progression and cell invasion, and induce cell apoptosis. 	29923329	2018	Identification of differential expressed lncRNAs in human thyroid cancer by a genome-wide analyses.	0	0	1	0	0	0	0
LINC00707	NA	100507127	ENSG00000238266	NR_038291	GRCh38_10:6779598-6842906	lung adenocarcinoma	C34	M8140/3	qPCR, Western blot, RNAi	lung adenocarcinoma tissues, cell lines(SPCA1, A549, H1299, H1975,16HBE)	up-regulated	The expression level of LINC00707 was clearly upregulated in LAD tissues compared to that in corresponding normal tissues.Its overexpression was related to advanced TNM stage, larger tumor size, lymphatic metastasis, and poor prognosis.LINC00707 knockdown repressed LAD cell proliferation both in vitro and in vivo. This process may involve the inducing of G1 arrest and apoptosis.cell migration was impaired after LINC00707 inhibition.Cdc42 is an important target gene involved in the carcinogenesis of LINC00707.LINC00707 is a noncoding oncogene that exerts important regulatory functions in LAD, suggesting its potential as a biomarker in the prognosis and treatment of LAD.patients expressing higher levels of LINC00707 had poorer disease-free survival and overall survival.	29482190	2018	The Long Intergenic Noncoding RNA 00707 Promotes Lung Adenocarcinoma Cell Proliferation and Migration by Regulating Cdc42.	docetaxel	0	1	0	0	0	0
LINC00857	LINC00857	439990	ENSG00000237523	NR_038464	GRCh38_10:80207710-80219657	gastric cancer	C16	NA	microarray, qPCR etc.	plasma, gastric cancer tissues, cell lines (SGC-7901 and BGC-823)	up-regulated	Five (TINCR, CCAT2, AOC4P, BANCR and LINC00857) were significantly upregulated in plasma, tumor tissues and GC cell lines. 	28042329	2017	Genome-Wide lncRNA Microarray Profiling Identifies Novel Circulating lncRNAs for Detection of Gastric Cancer.	0	1	0	0	0	0	0
LINC00857	LINC00857	439990	ENSG00000237523	NR_038464	GRCh38_10:80207710-80219657	lung cancer	C34	NA	microarray, qPCR, RNAi etc.	lung cancer tissues, cell lines (H1299, H838 and SK-LU-1)	down-regulated	LINC00857, a top deregulated lncRNAs, was overexpressed in tumors and significantly associated with poor survival in LUAD. knockdown of LINC00857 with siRNAs decreased tumor cell proliferation, colony formation, migration and invasion in vitro, as well as tumor growth in vivo. Overexpression of LINC00857 increased cancer cell proliferation, colony formation and invasion. Mechanistic analyses indicated that LINC00857 mediates tumor progression via cell cycle regulation.	26862852	2016	Non-coding RNA LINC00857 is predictive of poor patient survival and promotes tumor progression via cell cycle regulation in lung cancer	0	0	1	0	0	0	0
LINC00857	LINC00857	439990	ENSG00000237523	NR_038464	GRCh38_10:80207710-80219657	bladder cancer	C67	NA	qPCR etc.	cell lines (UM‐UC‐3 (ATCC: CRL‐1749) and T24 (ATCC: HTB‐4))	differential expression	Furthermore, LINC00857 knockdown sensitized UM-UC-3 and T24 bladder cancer cells to cisplatin, via the negative regulation of the LMAN1 gene. Our data indicate that LINC00857 plays an important role in the regulation of response to platinum-based chemotherapy.	29856124	2018	LINC00857 expression predicts and mediates the response to platinum-based chemotherapy in muscle-invasive bladder cancer	platinum	0	1	0	0	0	0
LINC00857	LINC00857	439990	ENSG00000237523	NR_038464	GRCh38_10:80207710-80219657	gastric cancer	C16	NA	qRT-PCR, Western blot analysis	GC cell lines (AGS, BGC-823, MKN-45 and SGC-7901) and a gastric epithelial cell line (GES-1) GC tissues and adjacent non-tumor tissues	up-regulated	LINC00857 was increased in GC tissues compared with adjacent non-tumor tissues.LINC00857 knockdown  induced by specific small interfering RNAs significantly inhibited GC cell proliferation in vitro. the results indicated that LINC00857 knockdown suppressed GC cell proliferation through deregulating the cell cycle, resulting in the downregulation of cyclin D1 and cyclin E1.	30008909	2018	Long non-coding RNA LINC00857 promotes gastric cancer cell proliferation and predicts poor patient survival.	0	0	1	0	0	0	0
LINC00857	LINC00857	439990	ENSG00000237523	NR_038464	GRCh38_10:80207710-80219657	ovarian cancer	C56.9	NA	microarray, qPCR etc.	cell lines (A2780, CP70, SKOV3, and SKOV3/DDP)	down-regulated	The lncRNA microarray analysis and qPCR identified seven lncRNAs that were significantly downregulated. 	28128423	2017	Long non-coding RNA ENST00000457645 reverses cisplatin resistance in CP70 ovarian cancer cells.	cisplatin 	0	0	0	0	0	0
LINC00858	LINC00858	170425	ENSG00000229404	NR_038220	GRCh38_10:84279980-84294659	non small cell lung cancer	C34	M8046/3	qPCR, RNAi, Western blot, Luciferase reporter assay, RNA pull-down assay, CCK-8 assay etc.	NSCLC tissues, cell lines (A549, SK-MES-1, H1299, 95D, H460, H520, H1975, H157, SK-LU-1, and SPC-A-1)	up-regulated	LINC00858 levels were remarkably higher in NSCLC tissues and cell lines. Ectopic expression of LINC00858 in NSCLC cells promoted cell proliferation and induced cell migration and invasion. Moreover, LINC00858 functioned as a competitive endogenous RNA (ceRNA),effectively becoming sponge for miR-422a and thereby modulating the expression of kallikrein-related peptidase 4 (KLK4). In NSCLC patients, high expression of LINC00858 closely correlated with tumor progression.	28177876	2017	Long intergenic non-protein coding RNA 00858 functions as a competing endogenous RNA for miR-422a to facilitate the cell growth in non-small cell lung cancer.	0	0	0	1	0	0	0
LINC00858	LINC00858	170425	ENSG00000229404	NR_038220	GRCh38_10:84279980-84294659	osteosarcoma	NA	M9180/3	qPCR, Western blot, RIP, etc.	osteosarcoma tissues, cell lines (MG-63, U2OS, 143 B, Saos-2, hFOB)	up-regulated	In further experiments, LINC00858 was identified to sponge miR-139 to form RNA-induced silencing complex (RISC) using luciferase reporter assay and RNA immunoprecipitation (RIP). these data prove that LINC00858/miR-139/CDK14 axis promotes the tumorigenesis of osteosarcoma.	29944887	2018	Long noncoding RNA LINC00858 promotes osteosarcoma through regulating miR-139-CDK14 axis.	0	0	0	1	0	0	0
LINC0086	LED, LINC0086, LINC00086, NCRNA00086,SMIM10L2A	399668	ENSG00000178947	NA	GRCh38_X:135421943-135428074	gastric cancer	C16	NA	qRT-PCR, ect.	The GC cell lines （SGC-7901, MKN45, BGC-823, AGS） and the normal gastric cell line (GES-1 GC), GC tissues and the matched normal tissues	down-regulated	Linc00086 expression was revealed to be downregulated in GC tissues and GC cell lines. Furthermore, it was revealed that 5-aza-dC induced linc00086 expression in SGC-7901 and MKN45 cells, DNA methylation may regulate the expression of linc00086. MeCP2 is involved in gene regulation by binding to methylated promoters, and it was revealed that the knockdown of the expression of MeCP2 resulted in a higher expression of linc00086.	30008886	2018	DNA methylation contributes to silencing the expression of linc00086 in gastric cancer.	0	0	0	0	0	0	1
LINC0086	LED, LINC0086, LINC00086, NCRNA00086,SMIM10L2A	399668	ENSG00000178947	NA	GRCh38_X:135421943-135428074	nasopharyngeal cancer	C11	NA	qPCR, Cell transfection, Luciferase reporter assay, Flow cytometry assay, CCK-8 assay etc.	serum, NPC tissues, cell lines (C666-1 and HK-1)	down-regulated	LINC0086 decreased in NPC patient serum samples and tissues.Upregulation of LINC0086 inhibited cancer cell proliferation and promoted apoptosis. In addition, Upregulation of LINC0086 dramatically decreased the expression of miR-214 in C666-1 and HK-1 cells.We also validated that both miR-214 and LINC0086 presented in the RISC complex, demonstrating that LINC0086 could decrease miR-214 expression by directly interacting with miR-214. Furthermore, the suppressive effects of LINC0086 on NPC cell growth were reversed by overexpression miR-214 expression in vitro and in vivo.	28245169	2017	Long Non-Coding RNA LINC0086 Functions as a Tumor Suppressor in Nasopharyngeal Carcinoma By Targeting miR-214.	0	1	1	1	0	0	0
LINC00880	AK311218	339894	ENSG00000243629	NR_034007	GRCh38_3:157081667-157123004	non small cell lung cancer	C34	M8046/3	qPCR etc.	NSCLC tissues	up-regulated	To identify lncRNAs that are critical to lung carcinogenesis, we selected three lncRNAs, CAR intergenic 10 (hereafter, CAR10), AK311218, and RP11-480I12.3, from the most up-regulated lncRNAs in the HPR NSCLCs (Table S3) and tested their expression by quantitative reverse transcription polymerase chain reaction (qRT-PCR). The expression of these lncRNAs was consistent with the microarray analysis.	27322209	2016	Long non-coding RNA stabilizes the Y-box-binding protein 1 and regulates the epidermal growth factor receptor to promote lung carcinogenesis.	0	0	1	0	0	0	0
LINC00880	AK311218	339894	ENSG00000243629	NR_034007	GRCh38_3:157081667-157123004	spinal cord ependymoma	NA	M9193/3	qPCR, Luciferase reporter assay, Western blot	spinal cord ependymoma tissues, cell line (SCE)	up-regulated	lncRNA LINC00880 targeting CACNG5 inhibits cell apoptosis and promotes proliferation,migration, and invasion in SCE through the MAPK signaling pathway.	29215699	2017	LncRNA LINC00880 promotes cell proliferation, migration, and invasion while inhibiting apoptosis by targeting CACNG5 through the MAPK signaling pathway in spinal cord ependymoma.	0	0	0	0	0	0	0
LINC00894-002	NA	NA	NA	NA	NA	breast cancer	C50	NA	qPCR, Western blot etc.	cell lines (MCF-7/WT and MCF-7/TamR)	down-regulated	LINC00894-002 exhibits the most sophisticated network pattern and is the most downregulated lncRNA in MCF-7/TamR cells. Moreover,LINC00894-002 is directly upregulated by ERa.Knocking down LINC00894-002 downregulates expression of miR-200a-3p and miR-200b-3p, upregulates the expression of TGF-B2 and ZEB1,and finally contributes to TamR.Herein, we report the first case of an inhibitory lncRNA against TamR through the miR-200-TGF-B2-ZEB1 signaling pathway. 	29738694	2018	Downregulation of LINC00894-002 Contributes to Tamoxifen Resistance by Enhancing the TGF-B Signaling Pathway.	tamoxifen	0	0	1	0	0	0
LINC00941	NA	100287314	ENSG00000235884	NR_040245	GRCh38_12:30795681-30802711	gastric cancer	C16	NA	qPCR etc.	gastric cancer tissues 	up-regulated	In this study, we first confirmed that LINC00941was up-regulated in GC tumor tissues compared with adjacent normal  tissues by RT-PCR, and found that the expression level of LINC00941 was correlated with invasion depth, lymphatic metastasis, and the TNM stage of patients with GC. we found that LINC00941 was associated with cancer related biological processes such as cell cycle, cell communication, cell migration, cell division, as well as processes associated with the immune system.	29653230	2018	Regulatory network analysis of high expressed long non-coding RNA LINC00941 in gastric cancer.	0	0	0	0	0	0	0
LINC00958	NA	100506305	ENSG00000251381	NR_038904	GRCh38_11:12961842-12989548	glioma	NA	M9380/3	qPCR, Western blot etc.	glioma tissues, cell lines (SHG44, U87, U251 and A172)	up-regulated	LINC00958 was significantly upregulated in glioma tissues and cell lines compared with that of adjacent normal brain tissues and normal human astrocytes. Moreover, the ectopic overexpression of LINC00958 was correlated with poor prognosis of glioma patients. Loss-of-function experiments indicated that LINC00958 knockdown suppressed glioma cell proliferation, invasion, and induced cycle arrest at G0/G1 phase in vitro, and inhibited tumor growth in vivo. Bioinformatics programs and luciferase reporter assay revealed that miR-203 shared complementary binding sites with both 3'-untranslated region of LINC00958 and CDK2. 	29570358	2018	Long Noncoding RNA LINC00958 Accelerates Gliomagenesis Through Regulating miR-203/CDK2.	0	0	0	0	0	0	0
LINC00958	NA	100506305	ENSG00000251381	NR_038904	GRCh38_11:12961842-12989548	bladder cancer	C67	NA	microarray, qPCR, RIP etc.	cell lines (RT4, HT1376, HT1197, T24, J82, UMUC3, SLT4, FL3, LUL2)	up-regulated	The lincRNAs LINC00958 and LINC01296 were signifcantly up-regulated and displayed phenotypic functions indicative of oncogenic properties in BC. Te oncogenic function of LINC00958 is likely associated with RNA binding proteins including MTDH by yet undefned mechanisms.	29059779	2017	Profling of long non-coding RNAs identifes LINC00958 and LINC01296 as candidate oncogenes in bladder cancer	0	0	0	0	0	0	0
LINC00958	NA	100506305	ENSG00000251381	NR_038904	GRCh38_11:12961842-12989548	bladder cancer	C67	NA	microarray, qPCR, Northern blot, RNA pull-down assay etc.	bladder cancer tissues, cell lines (RT4, HT1376, HT1197, T24, J82, UMUC3 etc.)	differential expression	Silencing of LINC00958 or LINC01296 in vitro reduced both cell viability and migration. Knock-down of LINC00958 also affected invasion and resistance to anoikis. These cellular effects could be linked to direct/indirect regulation of protein coding mRNAs involved in cell death/survival, proliferation and cellular movement. Finally, we showed that LINC00958 binds proteins involved in regulation and initiation of translation and in post-transcriptional modification of RNA, including Metadherin, which has previously been associated with BC.	28341852	2017	Profiling of long non-coding RNAs identifies LINC00958 and LINC01296 as candidate oncogenes in bladder cancer.	1	0	0	0	0	0	0
LINC00959	NA	NA	NA	NA	GRCh38_10:130063896-130110817	colorectal cancer	C19.9	NA	qPCR, Western blot, RNAi etc.	human colon cancer cell lines (HCT116, SW480)	down-regulated	In vitro, LINC00959 knockdown enhanced colon cancer cell proliferation, invasion, and migration; upregulated N-cadherin and vimentin; and downregulated E-cadherin and Caspase-3. LINC00959 overexpression produced the opposite effects. These data suggest that LINC00959 inhibits tumor cell invasion and migration by suppressing epithelial-mesenchymal transition and promotes apoptosis through Caspase-3. LINC00959 may be a tumor suppressor and useful prognostic biomarker in CRC.Survival analysis for LINC00959 expression in 116 CRC patients from the OncoLnc database. (P=0.0218) 	29228592	2017	Long non-coding RNA LINC00959 predicts colorectal cancer patient prognosis and inhibits tumor progression.	0	0	1	0	0	0	0
LINC00961	SPAAR, LINC00961, SPAR， lin-RECK-3	NA	ENSG00000235387	NA	GRCh38_9:35909483-35937153	ovarian cancer	C56.9	NA	RNA-seq, qPCR, Western blot etc.	cell lines (A2780, A2780-DR)	up-regulated	Here, we showed that expression of lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 was enhanced in cisplatin-resistant A2780-DR cells, Lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 showed significantly increased expression levels in A2780-DR cells.	27193186	2016	The Essential Role of H19 Contributing to Cisplatin Resistance by Regulating Glutathione Metabolism in High-Grade Serous Ovarian Cancer.	0	0	0	0	0	0	0
LINC00961	SPAAR, LINC00961, SPAR， lin-RECK-3	NA	ENSG00000235387	NA	GRCh38_9:35909483-35937153	lung adenocarcinoma	C34	M8140/3	RNA-seq, qPCR etc.	LUAD tissues	down-regulated	The results showed that CHIAP2, LINC00472, LINC00961 and MGC27382 were downregulated in LUAD tumor tissues when compared with adjacent non-tumor lung tissues, while AFAP1-AS1, CHIAP2 and FER1L4 were upregulated in LUAD tumor tissues.	27826625	2016	Integrated analysis of long non-coding RNA-associated ceRNA network reveals potential lncRNA biomarkers in human lung adenocarcinoma.	0	0	0	1	0	0	0
LINC00961	SPAAR, LINC00961, SPAR， lin-RECK-3	NA	ENSG00000235387	NA	GRCh38_9:35909483-35937153	non small cell lung cancer	C34	M8046/3	qPCR, Western blot	NSCLC tissue, cell lines (SPC-A1, A549, PC9, NCI-H1299, NCI-H1975, SK-MES-1, 16HBE) 	down-regulated	Decreased LINC00961 was associated with NSCLC patients advanced clinical stage, lymph node metastasis, and shorter survival time. LSD1 could directly bind to LINC00961 promoter regions and epigenetically repress its transcription in NSCLC cells.Ectopic overexpression of LINC00961 inhibits NSCLC cell migration,invasion in vitro and metastasis in vivo. LINC00961 could act as a tumor suppressor partially via affecting B-catenin expression. Collectively, decreased LINC00961 might play a key role in NSCLC progression, and may serve as a novel prognostic marker in human NSCLC.	29156520	2017	Long noncoding RNA LINC00961 inhibits cell invasion and metastasis in human non-small cell lung cancer.	0	0	1	0	0	0	0
LINC00961	SPAAR, LINC00961, SPAR， lin-RECK-3	NA	ENSG00000235387	NA	GRCh38_9:35909483-35937153	non small cell lung cancer	C56.9	NA	PCR, Western blot analysis	Human NSCLC cell lines (A549 and H226) lung cancer tissues( LUAD tumor and LUSC tumor tissues) compared with the peri‐tumor tissues and the healthy normal controls	down-regulated	it was significantly reduced in human non-small cell lung cancer (NSCLC) tissues. upregulation of LINC00961 repressed proliferating cell nuclear antigen expression and increased Bax expression, indicating that it acts as an important pro-apoptosis gene. Conversely, inhibition of LINC00961 induced proliferating cell nuclear antigen expression and restrained Bax protein levels.	30010215	2018	Long noncoding RNA LINC00961 inhibits cell proliferation and induces cell apoptosis in human non-small cell lung cancer.	0	0	1	0	0	0	0
LINC00961	SPAAR, LINC00961, SPAR， lin-RECK-3	NA	ENSG00000235387	NA	GRCh38_9:35909483-35937153	ovarian cancer	C56.9	NA	RNA-seq, qPCR, Western blot etc.	cell lines (A2780, A2780-DR)	up-regulated	Here, we showed that expression of lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 was enhanced in cisplatin-resistant A2780-DR cells, Lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 showed significantly increased expression levels in A2780-DR cells.	27193186	2016	The Essential Role of H19 Contributing to Cisplatin Resistance by Regulating Glutathione Metabolism in High-Grade Serous Ovarian Cancer.	1	0	0	0	0	0	0
LINC00963	NA	100506190	ENSG00000204054	NR_038955	GRCh38_9:129483451-129513686	clear cell renal cell carcinoma	C64.9	M8005/0	qPCR etc.	renal tumour tissues	down-regulated	After marker discovery, we used the training set to detect the levels of these promising lncRNAs by RT and quantitative polymerase chain reaction (RT-qPCR) in a cohort of 24 patients with ccRCC and 27 normal controls. Five lncRNAs (lncRNA-LET, PVT1, PANDAR, PTENP1 and linc00963) were significantly downregulated in the serum of patients compared to the healthy controls.	26878386	2016	A serum-circulating long noncoding RNA signature can discriminate between patients with clear cell renal cell carcinoma and healthy controls.	0	0	0	0	0	0	0
LINC00963	NA	100506190	ENSG00000204054	NR_038955	GRCh38_9:129483451-129513686	prostate cancer	C61.9	NA	microarray, qPCR, RNAi, Western blot etc.	cell lines (LNCaP, C4-3)	up-regulated	Linc00963 was upregulated most obviously evaluated by qPCR. Knockdown of linc00963 attenuated C4-2 cell proliferation, motility, invasion ability, the expression of EGFR and phosphorylation levels of AKT, and promoted cell apoptosis.	24691949	2014	Linc00963: a novel, long non-coding RNA involved in the transition of prostate cancer from androgen-dependence to androgen-independence.	0	0	0	0	0	0	0
LINC00963	LINC00963	100506190	ENSG00000204054	NR_038955	GRCh38_9:129483451-129513686	non small cell lung cancer	C34	M8046/3	qPCR, Northern blot, RIP etc.	cell lines (H1299, H292 )	up-regulated	Elevated expression of LINC00963 (MetaLnc9) in human NSCLC specimens correlated with poor prognosis, promoted migration and invasion of NSCLC cells in vitro, and enhanced lung metastasis formation in vivo. Mechanistic investigations showed that MetaLnc9 interacted with the glycolytic kinase PGK1 and prevented its ubiquitination in NSCLC cells, leading to activation of the oncogenic AKT/mTOR signaling pathway. MetaLnc9 also interacted with P54nrb/NonO (NONO) to help mediate the activity of CRTC, a co-activator for the transcription factor CREB, reinforcing a positive feedback loop for metastasis. Taken together, our results establish MetaLnc9 as a driver of metastasis and a candidate therapeutic target for treating advanced NSCLC.	28923857	2017	MetaLnc9 Facilitates Lung Cancer Metastasis via a PGK1-Activated AKT/mTOR Pathway	0	0	0	0	0	1	0
